llm_name,kernel_version,case_id,initial_deploy_state,final_deploy_state,total_time,final_failed_stage,final_error_type,total_repair_round,analyzer_round,repairer_round,inspector_round,refiner_round,analyzer_time_consumption,repairer_time_consumption,inspector_time_consumption,refiner_time_consumption,total_agent_calls,deploy_tool_round,first_analyzer_can_fix,last_analyzer_can_fix
deepseek-v3.2,5.4,helper_func/helper_bpf_snprintf,false,false,233.07,,,4,2,4,4,1,28.11,147.24,45.61,10.43,11,3,true,true
deepseek-v3.2,5.4,helper_func/helper_bpf_strncmp,false,true,54.53,,,1,1,1,1,1,11.31,27.52,7.60,7.13,4,2,true,true
deepseek-v3.2,5.4,kernel_struct/field_add_remove,false,false,187.34,compile_failed,header_dependency_missing,4,2,4,4,1,24.91,98.29,53.14,8.73,11,2,true,true
deepseek-v3.2,5.4,kernel_struct/field_offset_change,false,false,213.08,runtime_test_failed,,4,4,4,4,1,57.76,104.51,36.81,8.45,13,5,true,true
deepseek-v3.2,5.4,kernel_struct/field_renamed,false,false,205.69,static_check_failed,helper_unsupported,4,2,4,4,1,23.02,134.06,34.54,9.28,11,2,true,true
deepseek-v3.2,5.4,verifier/loop_support,true,true,0.01,,,0,0,0,0,0,0.00,0.00,0.00,0.00,0,1,,
deepseek-v3.2,5.4,verifier/state_explosion,false,true,64.93,,,1,1,1,1,1,11.33,39.69,7.07,5.95,4,2,true,true
deepseek-v3.2,5.15,feature/attach_type_unsupported,true,true,0.23,,,0,0,0,0,0,0.00,0.00,0.00,0.00,0,1,,
deepseek-v3.2,5.15,feature/btf_unsupported,true,true,0.22,,,0,0,0,0,0,0.00,0.00,0.00,0.00,0,1,,
deepseek-v3.2,5.15,feature/map_type_unsupported,true,true,0.01,,,0,0,0,0,0,0.00,0.00,0.00,0.00,0,1,,
deepseek-v3.2,5.15,feature/program_type_unsupported,true,true,0.01,,,0,0,0,0,0,0.00,0.00,0.00,0.00,0,1,,
deepseek-v3.2,5.15,helper_func/helper_bpf_get_current_task_bpf,true,true,0.03,,,0,0,0,0,0,0.00,0.00,0.00,0.00,0,1,,
deepseek-v3.2,5.15,helper_func/helper_bpf_ktime_get_boot_ns,true,true,0.01,,,0,0,0,0,0,0.00,0.00,0.00,0.00,0,1,,
deepseek-v3.2,5.15,helper_func/helper_bpf_snprintf,true,true,0.02,,,0,0,0,0,0,0.00,0.00,0.00,0.00,0,1,,
deepseek-v3.2,5.15,helper_func/helper_bpf_strncmp,false,true,86.30,,,1,1,1,1,1,39.36,30.65,8.02,7.26,4,2,true,true
deepseek-v3.2,5.15,kernel_struct/field_add_remove,true,true,0.01,,,0,0,0,0,0,0.00,0.00,0.00,0.00,0,1,,
deepseek-v3.2,5.15,kernel_struct/field_offset_change,false,true,134.90,,,2,2,2,2,1,35.06,68.47,20.25,7.72,7,3,true,true
deepseek-v3.2,5.15,kernel_struct/field_renamed,true,true,0.01,,,0,0,0,0,0,0.00,0.00,0.00,0.00,0,1,,
deepseek-v3.2,5.15,verifier/loop_support,true,true,0.01,,,0,0,0,0,0,0.00,0.00,0.00,0.00,0,1,,
deepseek-v3.2,5.15,verifier/state_explosion,true,true,0.01,,,0,0,0,0,0,0.00,0.00,0.00,0.00,0,1,,
doubao-2.0-lite,4.19,feature/attach_type_unsupported,false,false,9.00,static_check_failed,attach_target_missing,0,1,0,0,1,5.91,0.00,0.00,3.09,2,1,false,false
doubao-2.0-lite,4.19,feature/btf_unsupported,false,false,52.63,static_check_failed,helper_api_compatibility,4,1,4,4,1,6.42,30.10,12.28,3.85,10,1,true,true
doubao-2.0-lite,4.19,feature/map_type_unsupported,false,true,22.78,,,1,1,1,1,1,6.11,8.77,5.55,1.45,4,2,true,true
doubao-2.0-lite,4.19,feature/program_type_unsupported,false,false,9.45,static_check_failed,attach_type_unsupported,0,1,0,0,1,6.18,0.00,0.00,3.27,2,1,false,false
doubao-2.0-lite,4.19,helper_func/helper_bpf_get_current_task_bpf,false,false,71.10,compile_failed,,4,4,4,4,1,18.94,34.13,11.97,4.40,13,5,true,true
doubao-2.0-lite,4.19,helper_func/helper_bpf_ktime_get_boot_ns,false,true,18.46,,,1,1,1,1,1,6.65,6.23,2.63,2.07,4,2,true,true
doubao-2.0-lite,4.19,helper_func/helper_bpf_snprintf,false,false,66.30,static_check_failed,helper_api_compatibility,4,1,4,4,1,5.77,44.61,12.84,3.08,10,1,true,true
doubao-2.0-lite,4.19,helper_func/helper_bpf_strncmp,false,true,78.52,,,3,1,3,3,1,3.32,62.67,8.01,3.51,8,2,true,true
doubao-2.0-lite,4.19,kernel_struct/field_add_remove,false,false,74.65,static_check_failed,core_requires_btf,4,1,4,4,1,3.20,55.26,12.49,3.69,10,1,true,true
doubao-2.0-lite,4.19,kernel_struct/field_offset_change,false,false,77.50,runtime_test_failed,struct_member_offset_mismatch,4,2,4,4,1,13.11,42.98,17.41,3.21,11,2,true,true
doubao-2.0-lite,4.19,kernel_struct/field_renamed,false,false,208.79,static_check_failed,helper_api_compatibility,4,1,4,4,1,2.60,189.25,14.04,2.90,10,1,true,true
doubao-2.0-lite,4.19,verifier/loop_support,false,true,21.93,,,1,1,1,1,1,3.18,7.18,2.98,1.66,4,2,true,true
doubao-2.0-lite,4.19,verifier/state_explosion,false,false,82.71,compile_failed,,4,4,4,4,1,16.02,47.71,11.29,5.16,13,5,true,true
doubao-2.0-lite,5.4,feature/attach_type_unsupported,false,false,110.55,static_check_failed,attach_type_unsupported,2,3,2,2,1,15.57,73.87,7.36,3.45,8,3,true,false
doubao-2.0-lite,5.4,feature/btf_unsupported,false,true,158.69,,,4,1,4,4,1,7.41,129.29,13.15,3.43,10,2,true,true
doubao-2.0-lite,5.4,feature/map_type_unsupported,false,true,43.81,,,1,1,1,1,1,24.42,9.00,7.38,1.41,4,2,true,true
doubao-2.0-lite,5.4,feature/program_type_unsupported,false,false,27.74,static_check_failed,attach_type_unsupported,0,1,0,0,1,24.33,0.00,0.00,3.41,2,1,false,false
doubao-2.0-lite,5.4,helper_func/helper_bpf_get_current_task_bpf,false,true,24.31,,,1,1,1,1,1,3.90,7.75,3.69,1.99,4,2,true,true
doubao-2.0-lite,5.4,helper_func/helper_bpf_ktime_get_boot_ns,false,true,40.55,,,1,1,1,1,1,24.23,7.37,3.12,4.47,4,2,true,true
doubao-2.0-lite,5.4,helper_func/helper_bpf_snprintf,false,false,62.20,static_check_failed,helper_api_compatibility,4,1,4,4,1,6.62,39.92,11.83,3.83,10,1,true,true
doubao-2.0-lite,5.4,helper_func/helper_bpf_strncmp,false,false,92.38,static_check_failed,helper_api_compatibility,4,1,4,4,1,3.16,73.31,13.16,2.74,10,1,true,true
doubao-2.0-lite,5.4,kernel_struct/field_add_remove,false,false,25.44,,,1,1,1,1,1,4.28,7.69,2.56,4.29,4,2,true,true
doubao-2.0-lite,5.4,kernel_struct/field_offset_change,false,false,75.47,,,4,2,4,4,1,11.27,40.59,15.32,5.28,11,3,true,true
doubao-2.0-lite,5.4,kernel_struct/field_renamed,false,false,69.51,static_check_failed,helper_api_compatibility,4,2,4,4,1,6.86,37.73,14.47,4.51,11,2,true,true
doubao-2.0-lite,5.4,verifier/loop_support,true,true,0.02,,,0,0,0,0,0,0.00,0.00,0.00,0.00,0,1,,
doubao-2.0-lite,5.4,verifier/state_explosion,false,true,28.97,,,1,1,1,1,1,5.64,16.60,4.08,1.64,4,2,true,true
doubao-2.0-lite,5.15,feature/attach_type_unsupported,true,true,0.02,,,0,0,0,0,0,0.00,0.00,0.00,0.00,0,1,,
doubao-2.0-lite,5.15,feature/btf_unsupported,true,true,0.07,,,0,0,0,0,0,0.00,0.00,0.00,0.00,0,1,,
doubao-2.0-lite,5.15,feature/map_type_unsupported,true,true,0.01,,,0,0,0,0,0,0.00,0.00,0.00,0.00,0,1,,
doubao-2.0-lite,5.15,feature/program_type_unsupported,true,true,0.02,,,0,0,0,0,0,0.00,0.00,0.00,0.00,0,1,,
doubao-2.0-lite,5.15,helper_func/helper_bpf_get_current_task_bpf,true,true,0.03,,,0,0,0,0,0,0.00,0.00,0.00,0.00,0,1,,
doubao-2.0-lite,5.15,helper_func/helper_bpf_ktime_get_boot_ns,true,true,0.02,,,0,0,0,0,0,0.00,0.00,0.00,0.00,0,1,,
doubao-2.0-lite,5.15,helper_func/helper_bpf_snprintf,true,true,0.02,,,0,0,0,0,0,0.00,0.00,0.00,0.00,0,1,,
doubao-2.0-lite,5.15,helper_func/helper_bpf_strncmp,false,true,124.12,,,4,2,4,4,1,27.83,77.40,14.06,3.58,11,3,true,true
doubao-2.0-lite,5.15,kernel_struct/field_add_remove,true,true,0.03,,,0,0,0,0,0,0.00,0.00,0.00,0.00,0,1,,
doubao-2.0-lite,5.15,kernel_struct/field_offset_change,false,false,78.83,compile_failed,struct_member_offset_mismatch,4,2,4,4,1,10.83,47.32,17.19,3.07,11,2,true,true
doubao-2.0-lite,5.15,kernel_struct/field_renamed,true,true,0.03,,,0,0,0,0,0,0.00,0.00,0.00,0.00,0,1,,
doubao-2.0-lite,5.15,verifier/loop_support,true,true,0.03,,,0,0,0,0,0,0.00,0.00,0.00,0.00,0,1,,
doubao-2.0-lite,5.15,verifier/state_explosion,true,true,0.33,,,0,0,0,0,0,0.00,0.00,0.00,0.00,0,1,,
glm-5,4.19,feature/attach_type_unsupported,false,false,14.37,static_check_failed,attach_target_missing,0,1,0,0,1,9.76,0.00,0.00,4.61,2,1,false,false
glm-5,4.19,feature/btf_unsupported,false,false,135.40,static_check_failed,,4,4,4,4,1,33.76,58.28,34.72,7.13,13,5,true,true
glm-5,4.19,feature/map_type_unsupported,false,true,41.62,,,1,1,1,1,1,6.52,21.92,9.12,3.16,4,2,true,true
glm-5,4.19,feature/program_type_unsupported,false,false,11.90,static_check_failed,attach_type_unsupported,0,1,0,0,1,8.59,0.00,0.00,3.31,2,1,false,false
glm-5,4.19,helper_func/helper_bpf_get_current_task_bpf,false,false,131.11,compile_failed,,4,4,4,4,1,32.47,73.15,16.67,6.84,13,5,true,true
glm-5,4.19,helper_func/helper_bpf_ktime_get_boot_ns,false,true,21.31,,,1,1,1,1,1,4.15,8.55,4.85,2.98,4,2,true,true
glm-5,4.19,helper_func/helper_bpf_snprintf,false,false,151.03,load_failed,global_data_incompatibility,4,3,4,4,1,29.73,64.86,20.30,35.16,12,3,true,true
glm-5,4.19,helper_func/helper_bpf_strncmp,false,true,27.56,,,1,1,1,1,1,4.10,13.01,4.93,4.61,4,2,true,true
glm-5,4.19,kernel_struct/field_add_remove,false,false,118.49,static_check_failed,core_requires_btf,4,1,4,4,1,7.64,78.82,27.20,4.84,10,1,true,true
glm-5,4.19,kernel_struct/field_offset_change,false,false,148.74,compile_failed,incomplete_definition_of_type,4,3,4,4,1,24.95,92.09,24.98,5.39,12,3,true,true
glm-5,4.19,kernel_struct/field_renamed,false,false,116.84,static_check_failed,helper_api_compatibility,4,1,4,4,1,7.47,80.61,24.81,3.95,10,1,true,true
glm-5,4.19,verifier/loop_support,false,true,65.15,,,1,1,1,1,1,6.76,49.77,5.52,2.30,4,2,true,true
glm-5,4.19,verifier/state_explosion,false,false,157.96,load_failed,,4,4,4,4,1,34.03,88.42,21.75,7.84,13,5,true,true
glm-5,5.4,feature/attach_type_unsupported,false,false,127.00,runtime_test_failed,runtime_environment_mismatch,3,3,3,3,1,25.69,59.10,19.30,11.27,10,3,true,false
glm-5,5.4,feature/btf_unsupported,false,true,98.08,,,2,1,2,2,1,8.86,71.22,10.41,2.61,6,2,true,true
glm-5,5.4,feature/map_type_unsupported,false,true,31.25,,,1,1,1,1,1,6.80,11.47,9.46,2.66,4,2,true,true
glm-5,5.4,feature/program_type_unsupported,false,false,10.99,static_check_failed,attach_type_unsupported,0,1,0,0,1,7.35,0.00,0.00,3.65,2,1,false,false
glm-5,5.4,helper_func/helper_bpf_get_current_task_bpf,false,true,67.79,,,2,2,2,2,1,16.73,26.20,10.10,3.15,7,3,true,true
glm-5,5.4,helper_func/helper_bpf_ktime_get_boot_ns,false,true,21.92,,,1,1,1,1,1,4.55,10.90,4.13,1.47,4,2,true,true
glm-5,5.4,helper_func/helper_bpf_snprintf,false,false,115.23,,,4,2,4,4,1,19.11,72.67,18.85,3.43,11,3,true,true
glm-5,5.4,helper_func/helper_bpf_strncmp,false,true,91.41,,,2,1,2,2,1,4.86,71.43,11.15,3.12,6,2,true,true
glm-5,5.4,kernel_struct/field_add_remove,false,false,165.47,compile_failed,struct_member_offset_mismatch,4,1,4,4,1,7.17,97.86,56.01,4.44,10,1,true,true
glm-5,5.4,kernel_struct/field_offset_change,false,false,55.89,,,2,2,2,2,1,10.86,27.44,11.09,4.40,7,3,true,true
glm-5,5.4,kernel_struct/field_renamed,false,false,197.87,static_check_failed,helper_api_compatibility,3,2,3,2,1,16.72,167.21,8.65,0.22,8,2,true,true
glm-5,5.4,verifier/loop_support,true,true,0.01,,,0,0,0,0,0,0.00,0.00,0.00,0.00,0,1,,
glm-5,5.4,verifier/state_explosion,false,true,47.18,,,1,1,1,1,1,15.06,23.52,3.87,3.94,4,2,true,true
glm-5,5.15,feature/attach_type_unsupported,true,true,0.01,,,0,0,0,0,0,0.00,0.00,0.00,0.00,0,1,,
glm-5,5.15,feature/btf_unsupported,true,true,0.01,,,0,0,0,0,0,0.00,0.00,0.00,0.00,0,1,,
glm-5,5.15,feature/map_type_unsupported,true,true,0.02,,,0,0,0,0,0,0.00,0.00,0.00,0.00,0,1,,
glm-5,5.15,feature/program_type_unsupported,true,true,0.01,,,0,0,0,0,0,0.00,0.00,0.00,0.00,0,1,,
glm-5,5.15,helper_func/helper_bpf_get_current_task_bpf,true,true,0.01,,,0,0,0,0,0,0.00,0.00,0.00,0.00,0,1,,
glm-5,5.15,helper_func/helper_bpf_ktime_get_boot_ns,true,true,0.01,,,0,0,0,0,0,0.00,0.00,0.00,0.00,0,1,,
glm-5,5.15,helper_func/helper_bpf_snprintf,true,true,0.01,,,0,0,0,0,0,0.00,0.00,0.00,0.00,0,1,,
glm-5,5.15,helper_func/helper_bpf_strncmp,false,true,78.05,,,2,1,2,2,1,15.36,35.64,23.60,2.60,6,2,true,true
glm-5,5.15,kernel_struct/field_add_remove,true,true,0.01,,,0,0,0,0,0,0.00,0.00,0.00,0.00,0,1,,
glm-5,5.15,kernel_struct/field_offset_change,false,false,91.16,,,1,1,1,1,1,44.68,25.41,8.73,11.63,4,2,true,true
glm-5,5.15,kernel_struct/field_renamed,true,true,0.01,,,0,0,0,0,0,0.00,0.00,0.00,0.00,0,1,,
glm-5,5.15,verifier/loop_support,true,true,0.01,,,0,0,0,0,0,0.00,0.00,0.00,0.00,0,1,,
glm-5,5.15,verifier/state_explosion,true,true,0.01,,,0,0,0,0,0,0.00,0.00,0.00,0.00,0,1,,
minimax-m2.7,4.19,feature/attach_type_unsupported,false,false,44.03,static_check_failed,attach_target_missing,0,1,0,0,1,23.68,0.00,0.00,20.35,2,1,false,false
minimax-m2.7,4.19,feature/btf_unsupported,false,false,336.07,compile_failed,missing_type_definition,4,4,4,4,1,79.20,144.92,95.06,15.47,13,4,true,false
minimax-m2.7,4.19,feature/map_type_unsupported,false,true,73.80,,,1,1,1,1,1,22.89,14.92,24.28,10.89,4,2,true,true
minimax-m2.7,4.19,feature/program_type_unsupported,false,false,39.71,static_check_failed,attach_type_unsupported,0,1,0,0,1,30.37,0.00,0.00,9.34,2,1,false,false
minimax-m2.7,4.19,helper_func/helper_bpf_get_current_task_bpf,false,false,448.36,runtime_test_failed,,4,4,4,4,1,82.63,284.51,57.74,20.84,13,5,true,true
minimax-m2.7,4.19,helper_func/helper_bpf_ktime_get_boot_ns,false,true,50.43,,,1,1,1,1,1,17.15,11.97,9.62,10.75,4,2,true,true
minimax-m2.7,4.19,helper_func/helper_bpf_snprintf,false,false,424.36,static_check_failed,helper_api_compatibility,4,1,4,4,1,13.80,309.52,75.77,25.26,10,1,true,true
minimax-m2.7,4.19,helper_func/helper_bpf_strncmp,false,false,541.72,static_check_failed,helper_api_compatibility,4,1,4,4,1,14.10,437.12,68.88,21.63,10,1,true,true
minimax-m2.7,4.19,kernel_struct/field_add_remove,false,false,889.87,static_check_failed,core_requires_btf,4,2,4,4,1,44.13,752.78,71.57,21.10,11,2,true,true
minimax-m2.7,4.19,kernel_struct/field_offset_change,false,false,794.99,runtime_test_failed,runtime_test_failed,4,4,4,4,1,71.78,652.13,46.42,22.21,13,4,true,true
minimax-m2.7,4.19,kernel_struct/field_renamed,false,false,226.23,static_check_failed,helper_api_compatibility,4,1,4,4,1,16.95,131.77,51.76,25.74,10,1,true,true
minimax-m2.7,4.19,verifier/loop_support,false,true,56.89,,,1,1,1,1,1,16.03,20.52,9.35,10.03,4,2,true,true
minimax-m2.7,4.19,verifier/state_explosion,false,false,620.91,compile_failed,,4,4,4,4,1,80.82,462.46,60.80,14.05,13,5,true,true
minimax-m2.7,5.4,feature/attach_type_unsupported,false,false,499.62,runtime_test_failed,runtime_test_failed,4,3,4,4,1,67.38,323.45,76.18,20.87,12,3,true,true
minimax-m2.7,5.4,feature/btf_unsupported,false,true,226.13,,,3,1,3,3,1,11.32,121.12,63.46,24.86,8,2,true,true
minimax-m2.7,5.4,feature/map_type_unsupported,false,true,86.08,,,1,1,1,1,1,35.66,18.52,21.35,9.70,4,2,true,true
minimax-m2.7,5.4,feature/program_type_unsupported,false,false,46.59,static_check_failed,attach_type_unsupported,0,1,0,0,1,35.94,0.00,0.00,10.65,2,1,false,false
minimax-m2.7,5.4,helper_func/helper_bpf_get_current_task_bpf,false,true,94.76,,,1,1,1,1,1,15.82,48.91,9.56,15.11,4,2,true,true
minimax-m2.7,5.4,helper_func/helper_bpf_ktime_get_boot_ns,false,true,69.65,,,1,1,1,1,1,35.16,15.33,10.54,7.73,4,2,true,true
minimax-m2.7,5.4,helper_func/helper_bpf_snprintf,false,false,746.87,static_check_failed,helper_api_compatibility,4,1,4,4,1,13.61,642.61,80.21,10.46,10,1,true,true
minimax-m2.7,5.4,helper_func/helper_bpf_strncmp,false,false,650.55,static_check_failed,helper_api_compatibility,4,1,4,4,1,12.69,556.55,65.39,15.91,10,1,true,true
minimax-m2.7,5.4,kernel_struct/field_add_remove,false,false,67.38,,,1,1,1,1,1,14.68,13.96,12.55,20.72,4,2,true,true
minimax-m2.7,5.4,kernel_struct/field_offset_change,false,false,393.24,runtime_test_failed,runtime_test_failed,4,4,4,4,1,69.99,234.62,59.88,24.14,13,4,true,true
minimax-m2.7,5.4,kernel_struct/field_renamed,false,false,451.64,load_failed,verifier_reject,4,3,4,4,1,57.55,292.52,69.77,21.44,12,3,true,true
minimax-m2.7,5.4,verifier/loop_support,true,true,0.01,,,0,0,0,0,0,0.00,0.00,0.00,0.00,0,1,,
minimax-m2.7,5.4,verifier/state_explosion,false,true,77.71,,,1,1,1,1,1,22.40,25.06,14.00,15.29,4,2,true,true
minimax-m2.7,5.15,feature/attach_type_unsupported,true,true,0.01,,,0,0,0,0,0,0.00,0.00,0.00,0.00,0,1,,
minimax-m2.7,5.15,feature/btf_unsupported,true,true,0.01,,,0,0,0,0,0,0.00,0.00,0.00,0.00,0,1,,
minimax-m2.7,5.15,feature/map_type_unsupported,true,true,0.02,,,0,0,0,0,0,0.00,0.00,0.00,0.00,0,1,,
minimax-m2.7,5.15,feature/program_type_unsupported,true,true,0.01,,,0,0,0,0,0,0.00,0.00,0.00,0.00,0,1,,
minimax-m2.7,5.15,helper_func/helper_bpf_get_current_task_bpf,true,true,0.01,,,0,0,0,0,0,0.00,0.00,0.00,0.00,0,1,,
minimax-m2.7,5.15,helper_func/helper_bpf_ktime_get_boot_ns,true,true,0.03,,,0,0,0,0,0,0.00,0.00,0.00,0.00,0,1,,
minimax-m2.7,5.15,helper_func/helper_bpf_snprintf,true,true,0.03,,,0,0,0,0,0,0.00,0.00,0.00,0.00,0,1,,
minimax-m2.7,5.15,helper_func/helper_bpf_strncmp,false,false,594.99,static_check_failed,helper_not_in_probe,4,2,4,4,1,64.46,444.18,62.57,23.32,11,2,true,true
minimax-m2.7,5.15,kernel_struct/field_add_remove,true,true,0.01,,,0,0,0,0,0,0.00,0.00,0.00,0.00,0,1,,
minimax-m2.7,5.15,kernel_struct/field_offset_change,false,false,85.06,,,1,1,1,1,1,12.25,35.70,20.66,15.16,4,2,true,true
minimax-m2.7,5.15,kernel_struct/field_renamed,true,true,0.02,,,0,0,0,0,0,0.00,0.00,0.00,0.00,0,1,,
minimax-m2.7,5.15,verifier/loop_support,true,true,0.01,,,0,0,0,0,0,0.00,0.00,0.00,0.00,0,1,,
minimax-m2.7,5.15,verifier/state_explosion,true,true,0.02,,,0,0,0,0,0,0.00,0.00,0.00,0.00,0,1,,
